d_loss,epoch,g_fm,g_gan,g_mag,g_sc,g_total,step,val_loss
,0,,,,,,2081,56.09304428100586
,0,0.0,0.0,0.20160691440105438,0.5576200485229492,75.922607421875,2081,
,1,,,,,,4163,43.70659637451172
,1,0.0,0.0,0.1507049947977066,0.31487521529197693,46.557979583740234,4163,
,2,,,,,,6245,40.446563720703125
,2,0.0,0.0,0.14932480454444885,0.31546270847320557,46.47875213623047,6245,
,3,,,,,,8327,47.328102111816406
,3,0.0,0.0,0.13123133778572083,0.25211551785469055,38.33466720581055,8327,
,4,,,,,,10409,37.459800720214844
,4,0.0,0.0,0.13364647328853607,0.26350852847099304,39.71552658081055,10409,
,5,,,,,,12491,34.07715606689453
0.1578669548034668,5,1.8372300863265991,0.5208572149276733,0.12194769829511642,0.21571482717990875,43.473262786865234,12491,
,6,,,,,,14573,34.24241256713867
0.14932605624198914,6,1.8231409788131714,0.56751948595047,0.11598433554172516,0.1974632740020752,41.027992248535156,14573,
,7,,,,,,16655,35.67027282714844
0.1435595601797104,7,1.8655829429626465,0.6371151208877563,0.11723179370164871,0.20367011427879333,42.055137634277344,16655,
,8,,,,,,18737,32.12740707397461
0.1405627429485321,8,1.8443095684051514,0.6183103322982788,0.11346438527107239,0.19223493337631226,40.409828186035156,18737,
,9,,,,,,20819,33.395538330078125
0.15009452402591705,9,1.8823062181472778,0.6279375553131104,0.11703736335039139,0.20550939440727234,42.29420471191406,20819,
,10,,,,,,22901,31.07878875732422
0.14160312712192535,10,1.853508710861206,0.5798134207725525,0.10995877534151077,0.17950128018856049,38.79341125488281,22901,
,11,,,,,,24983,51.005794525146484
0.1386439949274063,11,1.8710882663726807,0.6161138415336609,0.10983944684267044,0.18323124945163727,39.27864456176758,24983,
,12,,,,,,27065,32.228843688964844
0.14376884698867798,12,2.0122265815734863,0.6540629267692566,0.11835923045873642,0.2093586027622223,43.486961364746094,27065,
,13,,,,,,29147,30.793888092041016
0.1060880795121193,13,2.0627365112304688,0.6976735591888428,0.10880275815725327,0.1751481294631958,39.406436920166016,29147,
,14,,,,,,31229,30.55657958984375
0.08991114050149918,14,2.058051824569702,0.7114474773406982,0.10499017685651779,0.16545931994915009,38.04661178588867,31229,
,15,,,,,,33311,33.16207504272461
0.08860038965940475,15,2.0840084552764893,0.7573757767677307,0.10749326646327972,0.17830586433410645,39.757423400878906,33311,
,16,,,,,,35393,31.55938148498535
0.10649320483207703,16,2.107992649078369,0.7602584958076477,0.11054307222366333,0.1862356960773468,40.97819519042969,35393,
,17,,,,,,37475,31.732763290405273
0.09760963916778564,17,2.096090078353882,0.762502908706665,0.10609426349401474,0.17268222570419312,39.12055587768555,37475,
,18,,,,,,39557,32.124786376953125
0.09363166242837906,18,2.1115455627441406,0.779897153377533,0.10469547659158707,0.16960571706295013,38.76774978637695,39557,
,19,,,,,,41639,29.39443588256836
0.08624690026044846,19,2.052788257598877,0.7220734357833862,0.10162515938282013,0.15916618704795837,37.06507873535156,41639,
,20,,,,,,43721,31.016311645507812
0.09419642388820648,20,2.0175206661224365,0.7041170597076416,0.10147754102945328,0.16070011258125305,37.00949478149414,43721,
,21,,,,,,45803,31.60120391845703
0.11541877686977386,21,2.0190958976745605,0.732351541519165,0.10435906797647476,0.17407390475273132,38.67110061645508,45803,
